ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
74.01025 -71.483333 3.7121035 3.9e-06 0.661 6001.24463 15.785 15.033 14.62 14.345 14.37 0.023 0.029 0.041 AAA 2451908.6375
73.855 -71.39 5.3651931 1.09e-05 0.467 6002.42147 15.489 14.695 14.106 13.7 13.681 0.023 0.023 0.028 AAA 2451942.693
73.855 -71.39 3.873209 6.5e-06 0.481 6000.59798 15.881 15.134 14.106 13.7 13.681 0.023 0.023 0.028 AAA 2451942.693
74.01025 -71.483333 3.3744083 4.4e-06 0.541 6001.88198 15.99 15.302 14.62 14.345 14.37 0.023 0.029 0.041 AAA 2451908.6375
74.517875 -71.562306 7.0647648 2.15e-05 0.493 6002.32254 15.158 14.369 14.445 14.084 14.063 0.02 0.026 0.03 AAA 2451898.6949
74.517875 -71.562306 4.020431 7.3e-06 0.391 6001.87951 15.617 14.972 14.445 14.084 14.063 0.02 0.026 0.03 AAA 2451898.6949
74.517875 -71.562306 7.4993657 7.31e-05 0.518 6007.4186 14.841 14.117 14.445 14.084 14.063 0.02 0.026 0.03 AAA 2451898.6949
72.955292 -70.947861 5.7587671 0.0001121 0.509 6002.01908 -99.99 14.668 13.954 13.577 13.53 0.02 0.023 0.027 AAA 2451903.6925
72.513292 -68.259694 22.2630923 0.0037557 -99.99 -99.99 13.478 -99.99 12.052 11.785 11.678 0.019 0.021 0.020 AAA 2451903.6613
72.539917 -69.661028 3.0792302 5.8e-06 0.394 6002.55862 16.534 15.696 15.019 14.626 14.569 0.023 0.028 0.047 AAA 2451903.6557
72.55975 -68.824472 9.3645147 8.77e-05 0.204 6006.23152 15.133 14.162 13.427 13.051 12.94 0.018 0.021 0.022 AAA 2451903.6591
72.565042 -68.998028 3.6938683 1.76e-05 0.182 6002.36312 -99.99 15.062 14.355 13.95 13.87 0.027 0.029 0.033 AAA 2451903.6584
72.574167 -68.898917 4.1646485 8.3e-06 0.461 6003.38161 16.003 15.217 14.677 14.316 14.201 0.020 0.022 0.032 AAA 2451903.6588
