ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
9.379542 -73.76525 1.4145652 2.8e-06 0.322 6001.3148 17.723 17.064 16.53 16.34 16.265 0.061 0.117 0.173 ABC 2451876.5532
9.38425 -74.06375 1.718133 2.2e-06 0.732 6000.49482 17.074 16.64 16.309 16.043 15.902 0.046 0.094 0.131 AAB 2451876.5544
9.398375 -74.578778 1.7406744 1.4e-06 0.84 6001.34749 17.272 16.696 16.274 15.944 16.125 0.046 0.079 0.158 AAC 2451876.5565
9.41975 -74.206611 1.6622302 2.4e-06 0.517 6000.34917 17.709 17.063 16.471 16.347 16.14 0.056 0.121 0.175 ABC 2451876.555
9.435083 -74.246861 2.660139 3.7e-06 0.647 6000.32238 16.943 16.307 16.143 15.727 15.495 0.043 0.071 0.096 AAA 2451876.5552
9.489583 -74.047556 3.6764741 2.3e-06 0.732 6003.33574 -99.99 15.648 15.164 14.824 14.922 0.025 0.036 0.055 AAA 2451876.5543
9.495125 -73.173333 2.1028519 2.5e-06 0.549 6001.03048 17.115 16.445 16.035 15.849 15.463 0.042 0.078 0.091 AAA 2451876.5508
9.504375 -73.575806 1.4230201 1e-06 0.697 6000.02732 17.704 17.125 16.66 16.361 16.013 0.069 0.127 0.145 ABB 2451876.5524
9.548083 -73.416861 1.2691942 1e-06 0.615 6000.81807 17.587 16.998 16.403 16.092 15.901 0.055 0.095 0.134 AAB 2451876.5518
9.743208 -73.995111 1.1785503 1.44e-05 0.658 6001.08877 18.107 17.622 15.68 15.346 15.379 0.039 0.060 0.088 AAA 2451876.5939
9.57075 -73.814694 8.4955307 0.0001407 0.544 6006.60154 15.174 14.487 14.138 13.839 13.77 0.019 0.024 0.026 AAA 2451876.5534
9.578667 -73.525583 36.962496 0.0011886 0.297 6003.34067 13.676 12.892 12.162 11.671 11.592 0.018 0.022 0.021 AAA 2451876.5522
9.601875 -73.882028 1.2254628 1.9e-06 0.797 6001.1373 -99.99 17.407 16.824 16.751 16.489 0.076 0.165 0.243 ACD 2451876.5537
9.743208 -73.995111 7.9398767 3.72e-05 0.417 6005.77674 15.474 14.686 15.68 15.346 15.379 0.039 0.060 0.088 AAA 2451876.5939
9.658417 -74.458222 1.5438672 1.4e-06 0.47 6000.60617 17.149 16.523 16.16 15.969 15.736 0.044 0.087 0.102 AAB 2451876.556
9.737833 -73.81325 2.1131969 3.2e-06 0.527 6001.68365 17.228 16.575 16.152 15.916 15.857 0.043 0.098 0.130 AAB 2451876.5946
9.743208 -73.995111 2.7698708 3.5e-06 0.502 6001.19814 16.788 16.119 15.68 15.346 15.379 0.039 0.060 0.088 AAA 2451876.5939
9.743667 -73.808861 2.1311588 2.2e-06 0.823 6001.06375 17.195 16.605 16.332 16.115 15.924 0.051 0.111 0.128 ABB 2451876.5947
9.767917 -73.281278 3.4892496 5.7e-06 0.696 6001.0444 16.536 15.809 15.244 15.041 14.977 0.034 0.051 0.064 AAA 2451876.5968
9.837875 -73.779889 1.3689305 2.7e-06 0.436 6000.43609 17.903 17.267 16.77 16.631 16.199 0.075 0.160 0.167 ACC 2451876.5948
9.871083 -73.699083 1.2162361 1.3e-06 0.464 6000.08308 17.879 17.272 16.826 16.373 15.959 0.073 0.127 0.139 ABB 2451876.5951
9.890917 -73.748444 17.9433575 0.0003574 0.263 6009.93775 14.161 13.414 13.039 12.698 12.598 0.018 0.021 0.020 AAA 2451876.5949
9.902125 -73.651167 1.2652782 1.1e-06 0.54 6000.22605 17.708 17.098 16.829 16.789 16.424 0.074 0.182 0.203 ACC 2451876.5953
9.903333 -73.581806 1.274385 1.5e-06 0.476 6001.10484 18.017 17.385 17.038 16.664 16.455 0.094 0.157 0.201 ACD 2451876.5956
9.93275 -74.345778 3.5829729 5.8e-06 0.615 6002.47021 16.556 15.866 15.412 15.149 14.999 0.028 0.047 0.063 AAA 2451876.5925
9.951292 -73.915417 1.4805104 1.1e-06 0.765 6000.65983 17.396 16.871 16.502 16.254 16.445 0.052 0.114 0.219 ABD 2451876.5942
9.956333 -74.518167 3.6493644 2.5e-05 0.196 6002.88329 16.956 16.24 15.662 15.303 15.2 0.034 0.056 0.078 AAA 2451876.5918
9.95875 -73.499278 1.4720103 1.5e-06 0.804 6000.50958 17.369 16.834 16.471 16.131 16.119 0.057 0.099 0.162 AAC 2451876.5959
9.999958 -73.926833 5.9734591 3.1e-05 0.314 6003.853 16.397 15.665 15.106 14.778 14.722 0.025 0.040 0.045 AAA 2451876.5942
10.000167 -73.499083 1.6526553 1.2e-06 0.747 6000.62023 17.08 16.539 16.255 16.017 16.141 0.054 0.091 0.151 AAC 2451876.5959
9.93275 -74.345778 1.3834497 2.7e-06 0.407 6000.57848 17.867 17.213 15.412 15.149 14.999 0.028 0.047 0.063 AAA 2451876.5925
10.098542 -73.673556 3.7624229 1.8e-05 0.249 6000.99114 16.741 16.036 13.688 13.235 13.172 0.025 0.024 0.024 AAA 2451876.6108
10.083125 -73.014583 1.4794022 1.4e-06 0.647 6000.73627 17.687 16.971 16.343 15.98 15.985 0.058 0.100 0.137 AAB 2451876.5979
10.000167 -73.499083 1.7309657 1.3e-06 0.777 6000.85849 16.983 16.454 16.255 16.017 16.141 0.054 0.091 0.151 AAC 2451876.5959
10.098542 -73.673556 10.3334896 4.06e-05 0.524 6007.32737 14.902 14.195 13.688 13.235 13.172 0.025 0.024 0.024 AAA 2451876.6108
9.951292 -73.915417 3.068572 3.1e-06 0.757 6001.4796 16.645 16.014 16.502 16.254 16.445 0.052 0.114 0.219 ABD 2451876.5942
